key,true_thetas,learning_rate,epsilon,N_explain,num_ones_train,num_zeros_train,num_ones_test,num_zeros_test,model_type,num_epochs,correct_preds,MLP accuracy,X_explain_shape,Recourse_estimated_in_True_SCM,Recourse_in_True_SCM,accuracy_preds,accuracy_true,accuracy_comparison_tot,cost_mean,cost_mean_estimated,cost_mean_baseline,accuracy_preds_prior
d3ffd357-da11-40ad-93e1-1e34e8f086b1,"[0, 0, 0]",1,0.0,500,418,382,98,102,MLP,100,198,0.99,"(100, 3)",68,86,0.68,0.86,0.66,1.9785378349549843,1.811087704969175,2.0461999466924956,0.81
84a9aca4-48c3-41da-aa34-93d8d5af3218,"[0, 0, 0]",0.75,0.0,500,418,382,98,102,MLP,100,198,0.99,"(100, 3)",61,86,0.61,0.86,0.59,1.8132895039299788,1.623581677170123,1.8537806666503518,0.81
711d333b-7041-41e3-a447-749fb8f137bb,"[0, 0, 0]",0.5,0.0,500,418,382,98,102,MLP,100,198,0.99,"(100, 3)",46,85,0.46,0.85,0.44,1.5780302428386428,1.4982022670182316,1.6214913773265751,0.77
c0c1c813-9b84-46be-b43d-5e5bf7d59d3c,"[0, 0, 0]",0.25,0.0,500,418,382,98,102,MLP,100,198,0.99,"(100, 3)",35,56,0.35,0.56,0.33,1.3445538115320783,1.3811795196749947,1.4583589254003582,0.57
4d658ff3-82ca-48d7-ae3a-f8374ad26389,"[0, 0, 0]",0.1,0.0,500,418,382,98,102,MLP,100,198,0.99,"(100, 3)",21,40,0.21,0.4,0.18,0.7002877878646055,0.8113337241941028,0.8872422439356645,0.34
f8e8b226-9ccb-4fbe-937c-53125f621345,"[0, 0, 0]",0.01,0.0,500,418,382,98,102,MLP,100,198,0.99,"(100, 3)",15,17,0.15,0.17,0.07,0.13477632563029016,0.27445006876119543,0.40662541187235285,0.08
04d6778a-e35f-4ed7-8814-6b00e35e1e89,"[0, 0, 0]",1,0.0,500,391,409,99,101,MLP,100,195,0.975,"(102, 3)",53,80,0.5196078431372549,0.7843137254901961,0.4803921568627451,1.2193506651995134,1.3560427226582352,2.172364740347376,0.7156862745098039
e860eb00-fae1-4f17-9da8-42e3c7b1b1a7,"[0, 0, 0]",0.75,0.0,500,391,409,99,101,MLP,100,195,0.975,"(102, 3)",56,80,0.5490196078431373,0.7843137254901961,0.5098039215686274,1.2549821121188312,1.2052614322075477,1.8692647728782434,0.7156862745098039
f2d874e6-73e8-4444-853a-b1f501eb29c2,"[0, 0, 0]",0.5,0.0,500,391,409,99,101,MLP,100,195,0.975,"(102, 3)",43,80,0.4215686274509804,0.7843137254901961,0.4117647058823529,1.156759956053325,1.1262357767139162,1.7526447900703974,0.7156862745098039
acec40b8-eca2-42a3-b3e1-601345ecd4fb,"[0, 0, 0]",0.25,0.0,500,391,409,99,101,MLP,100,195,0.975,"(102, 3)",30,66,0.29411764705882354,0.6470588235294118,0.21568627450980393,0.8686534274708141,0.7099207334897735,1.0646002516150475,0.5294117647058824
f20a89be-fba3-4824-a5f6-ce018d4856dc,"[0, 0, 0]",0.1,0.0,500,391,409,99,101,MLP,100,195,0.975,"(102, 3)",18,44,0.17647058823529413,0.43137254901960786,0.14705882352941177,0.4443483809630076,0.4529818743467331,0.7383662338058153,0.37254901960784315
068c0d68-8cbf-48bb-b4c8-a959adcbd26a,"[0, 0, 0]",0.01,0.0,500,391,409,99,101,MLP,100,195,0.975,"(102, 3)",8,11,0.0784313725490196,0.10784313725490197,0.06862745098039216,0.03207680396735668,0.057206185933734686,0.09239830262959003,0.10784313725490197
a8b2df2e-2f1b-466c-b52d-249ca398d318,"[0, 0, 0]",1,0.0,500,405,395,91,109,MLP,100,197,0.985,"(108, 3)",31,49,0.28703703703703703,0.4537037037037037,0.2777777777777778,1.2266354262828827,1.3176096300284068,1.1456355631351471,0.4074074074074074
18ab23fd-abe7-4e00-88f9-2dc8af92883a,"[0, 0, 0]",0.75,0.0,500,405,395,91,109,MLP,100,197,0.985,"(108, 3)",30,49,0.2777777777777778,0.4537037037037037,0.26851851851851855,0.8790081759978985,1.0525736500476968,1.016223146997649,0.42592592592592593
f66c4fb8-859a-43ba-b733-2b7168b78b89,"[0, 0, 0]",0.5,0.0,500,405,395,91,109,MLP,100,197,0.985,"(108, 3)",24,49,0.2222222222222222,0.4537037037037037,0.21296296296296297,0.6191825400228086,0.7335312353528064,0.8093495446702709,0.4351851851851852
7fcec211-5626-461e-900d-af4303c079e5,"[0, 0, 0]",0.25,0.0,500,405,395,91,109,MLP,100,197,0.985,"(108, 3)",17,49,0.1574074074074074,0.4537037037037037,0.1388888888888889,0.34069927434126535,0.5180366188287735,0.6720806082089742,0.26851851851851855
95d3d68a-6bd0-4dbc-aa03-b654a385bec4,"[0, 0, 0]",0.1,0.0,500,405,395,91,109,MLP,100,197,0.985,"(108, 3)",17,47,0.1574074074074074,0.4351851851851852,0.1111111111111111,0.21213264080385366,0.4466592539101839,0.5909718802819649,0.2222222222222222
47ae74e0-1bcd-478e-b461-f59f4cf86eda,"[0, 0, 0]",0.01,0.0,500,405,395,91,109,MLP,100,197,0.985,"(108, 3)",14,23,0.12962962962962962,0.21296296296296297,0.10185185185185185,0.20346916958012365,0.31874805671924894,0.4917662467130206,0.1388888888888889
4f690d52-1b48-45ff-ac5b-6998a045fe0a,"[0, 0, 0]",1,0.0,500,388,412,98,102,MLP,100,199,0.995,"(103, 3)",62,98,0.6019417475728155,0.9514563106796117,0.5728155339805825,1.3514728081428398,1.4663983351093228,1.8889876402030557,0.8640776699029126
06e1e854-734f-4b16-a6a0-ae220b134ab3,"[0, 0, 0]",0.75,0.0,500,388,412,98,102,MLP,100,199,0.995,"(103, 3)",61,98,0.5922330097087378,0.9514563106796117,0.5825242718446602,1.1478889107704162,1.2544982920090357,1.7159942448139192,0.912621359223301
ae35a9c2-1ae6-426c-9c5d-e43835703fc6,"[0, 0, 0]",0.5,0.0,500,388,412,98,102,MLP,100,199,0.995,"(103, 3)",62,98,0.6019417475728155,0.9514563106796117,0.5825242718446602,1.0920025502641997,1.2381343682607016,1.789908121029536,0.8155339805825242
e41ff7d9-4020-45f6-b1cd-956ac6b365b6,"[0, 0, 0]",0.25,0.0,500,388,412,98,102,MLP,100,199,0.995,"(103, 3)",65,98,0.6310679611650486,0.9514563106796117,0.5436893203883495,0.9789248577186039,1.1683560255914927,1.685360605695418,0.7572815533980582
